Type,Amount,OriginAccNumber,OriginOldBalance,OriginNewBalance,DestAccNumber,TransactionDate,TransactionId,OrigCountry,OriginInternalUserId
PAYMENT,2204.04,C1431556341,586.0,0.0,M490391704,2020-12-04,TRF-QjyFmcCQZVEP,ID,C-69e05601-5748-47ad-a8a5-55fd5f062d1a
PAYMENT,2641.47,C727666004,23053.0,20411.53,M1653361344,2021-03-05,TRF-PzpFVGwxftEr,SG,C-b6f2acb3-2295-40cf-9857-4e6467f378ce
CASH_OUT,23261.3,C882646447,20411.53,0.0,C2001112025,2019-02-07,TRF-cTnswcGrTItg,ID,C-4492f375-8632-4790-8734-2c88a219173f
PAYMENT,2330.64,C1818747191,203543.0,201212.36,M909132503,2021-02-18,TRF-pieFSAqVhpkk,MY,C-3d14761d-c32d-4cef-8a20-6221ab01bee1
PAYMENT,1614.64,C173791568,41276.0,39661.36,M1792384402,2017-07-27,TRF-GPJRLFnOdldU,ID,C-2784a85e-a8ea-4115-941b-1206e82c202b
PAYMENT,9164.71,C1112456099,47235.77,38071.06,M1658980982,2021-07-17,TRF-QnOFmdXyQDrz,SG,C-551d4df7-1807-460e-a90d-40fddee75472
PAYMENT,2970.97,C976358110,38071.06,35100.09,M1152606315,2019-05-02,TRF-jOJBcZahTiZF,ID,C-b8ee976e-5e9e-40aa-a777-069dd82eef96
PAYMENT,38.66,C2101527076,16174.0,16135.34,M1714688478,2020-10-25,TRF-BuEeBmFDgGaY,MY,C-b95c58c6-3a44-49d9-a4c5-89cd07092de0
PAYMENT,2252.44,C1271041075,1627.0,0.0,M1506951181,2019-02-01,TRF-SiUgCXNuwrda,SG,C-bca5a1b4-aa07-4910-8dec-f09c8880202f
TRANSFER,62610.8,C708613859,79114.0,16503.2,C1937962514,2020-01-29,TRF-vRqZWZNYNFKF,ID,C-0a0a88fa-1fdf-427d-aa1d-3103eeb13091
DEBIT,5529.13,C839771540,8547.0,3017.87,C242131142,2019-05-26,TRF-iSvmQhOhqOVG,ID,C-47840b1b-c685-4874-8731-56b762935441
CASH_OUT,82940.31,C913242382,3017.87,0.0,C476800120,2019-06-27,TRF-FZeRqIjvHLvu,ID,C-a1454f96-d807-46b0-92ef-8a86cb852d5d
DEBIT,4510.22,C1028145537,10256.0,5745.78,C1254526270,2022-03-21,TRF-JjBrqCZNZoRm,SG,C-ad1d7d59-221e-4756-9aef-6f71112cd942
DEBIT,8727.74,C1629353699,882770.0,874042.26,C1129670968,2022-05-12,TRF-kDoJTXeRicTg,ID,C-0b4bbf75-3aa6-4bc9-952a-73c060669d7a
PAYMENT,2599.46,C727666004,874042.26,871442.79,M1860591867,2018-11-28,TRF-IEfhMgssNaFp,MY,C-957d91bf-7fda-457e-a2cf-e30b50346669
DEBIT,4874.49,C88301993,153.0,0.0,C1971489295,2016-08-19,TRF-uGcSONuOhXuH,ID,C-df3e6e9d-9f39-4890-a02a-9faa3f4abf46
PAYMENT,6440.78,C1233595751,2192.0,0.0,M516875052,2021-12-30,TRF-IDWkrkKXosAD,ID,C-d0396781-0453-42ff-bce0-87d93369f5f3
PAYMENT,4910.14,C1799230133,41551.0,36640.86,M589987187,2022-04-14,TRF-RwxTRWxucPjV,SG,C-99b424f5-f038-425e-b00c-10de9e3b9f83
PAYMENT,6444.64,C885910946,12019.0,5574.36,M587180314,2018-10-11,TRF-oXwAKFKeNxIj,ID,C-b0c40b71-0634-4965-ac5a-a4e9f55fe16a
DEBIT,5149.66,C1523084197,4782.0,0.0,C1330106945,2022-08-10,TRF-rigfGVSIVowS,MY,C-9b163187-d393-4702-b831-a4eafebe431f
PAYMENT,7292.16,C737104370,216827.0,209534.84,M1082411691,2017-11-14,TRF-FfUUXPxODmCH,ID,C-c75b9d2a-7aa0-49d0-87f8-ca74d6554a62
CASH_OUT,47458.86,C1974622245,209534.84,162075.98,C2096057945,2023-02-11,TRF-SLEzOGPgYAnA,SG,C-12eb77fd-b0a3-4a92-91fa-531377e0b6b9
CASH_OUT,136872.92,C1175418534,162075.98,25203.05,C766572210,2015-08-31,TRF-gYrTcHPxfTFQ,ID,C-9747c33f-c2ca-4011-ab05-66b08b7bd7e7
CASH_OUT,94253.33,C181252244,25203.05,0.0,C977993101,2021-03-16,TRF-MKpWWHqAeeLd,SG,C-b0d95009-e7ae-4843-be9a-3ac7ceb8418a
PAYMENT,2998.04,C212963786,12030.0,9031.96,M2134271532,2016-08-15,TRF-BJpftCshGvnf,SG,C-4cb2ce94-40b8-409b-813a-c0f472d6e986
PAYMENT,3454.08,C605982374,9031.96,5577.88,M1831010686,2019-05-25,TRF-tpPCtEbLhIvF,MY,C-b5fbc7ed-fc6f-42d6-9405-aeaea5d5aa15
PAYMENT,4316.2,C307411297,10999.0,6682.8,M404222443,2016-04-10,TRF-qezIsZkwePqz,SG,C-422e52e5-0069-48bf-9171-8c3822f1ab90
PAYMENT,2131.84,C1645624121,224.0,0.0,M61073295,2017-06-27,TRF-GLYJIpIHKKmL,ID,C-304d883b-1fa1-454c-87c3-853a06e08d6c
PAYMENT,12986.61,C1785111044,23350.0,10363.39,M396485834,2021-03-17,TRF-kADKKEhakSka,SG,C-2bb6ae05-5109-408a-837d-5c56c888224b
TRANSFER,42712.39,C1660325375,10363.39,0.0,C1330106945,2019-01-02,TRF-WEVCbuvpQybA,MY,C-bf96fca1-d8ec-42d8-ac9f-c69c68cf2b84
TRANSFER,77957.68,C172215878,0.0,0.0,C1761291320,2023-01-22,TRF-YYtsVBRoYFGr,MY,C-4492f375-8632-4790-8734-2c88a219173f
TRANSFER,17231.46,C833240229,0.0,0.0,C783286238,2016-11-21,TRF-SjQAAaJSOooZ,ID,C-2fa25b73-02bd-4daf-8d83-35413df1dd75
TRANSFER,78766.03,C487416600,0.0,0.0,C1749186397,2021-08-22,TRF-jWNWcQeWZbbE,MY,C-711f0dcb-b20a-4b65-8d05-708b09f09e6d
TRANSFER,224606.64,C713898436,0.0,0.0,C766572210,2019-09-12,TRF-yKYxMOiRUShD,ID,C-5dd5a0fa-27cb-4d65-98d4-32cb3810a08a
TRANSFER,125872.53,C407148497,0.0,0.0,C392292416,2015-10-26,TRF-WmGcXabuQDwI,ID,C-6f7f4387-aebb-46cb-ab2a-6ad7228ee44a
TRANSFER,379856.23,C1547883191,0.0,0.0,C1590550415,2017-12-29,TRF-zWFmFWJeBjfA,ID,C-3177a3a3-8ce9-4268-911c-5c24e95332bb
TRANSFER,1505626.01,C1412322831,0.0,0.0,C665576141,2020-07-26,TRF-UdAonRCkdVYK,ID,C-5d026c18-9a38-49ad-9b57-b7ca1d0c3597
TRANSFER,554026.99,C1627010197,0.0,0.0,C766572210,2019-10-15,TRF-EYlBpbOVpuOy,MY,C-3d956159-52ea-4a73-be07-dbd9c6509ad5
TRANSFER,147543.1,C2066892165,0.0,0.0,C1359044626,2018-02-15,TRF-SXwAOQkocWRo,MY,C-c83eb535-c4eb-47ef-838c-230c87862f86
TRANSFER,761507.39,C708613859,0.0,0.0,C1590550415,2017-05-24,TRF-PhrkSPtEbEMh,ID,C-c6d53673-65c8-41b5-be79-71df049fa68e
TRANSFER,1429051.47,C767511741,0.0,0.0,C1590550415,2020-11-15,TRF-rauEZSPeMmPG,SG,C-893cc95b-a8ef-4c13-bd0a-987bd6c7c0ff
TRANSFER,358831.92,C967323951,0.0,0.0,C392292416,2015-04-14,TRF-XUDLlRYxTqSe,MY,C-0b5f72a6-2648-4e41-8624-5e03eee3fa52
TRANSFER,367768.4,C1967617997,0.0,0.0,C1359044626,2022-05-08,TRF-SUSsoxARWhBz,SG,C-d147684b-808c-44d1-98b9-d440002b6fff
TRANSFER,209711.11,C500618423,0.0,0.0,C1509514333,2015-06-29,TRF-tTVnokQjrNQf,ID,C-4ed3c410-330a-436d-acfc-5f669fdd4083
TRANSFER,583848.46,C1774690057,0.0,0.0,C1286084959,2022-05-29,TRF-CpYLdUhwVDKG,SG,C-d20b925c-cf19-4605-9331-2d5a53a7eff5
TRANSFER,1724887.05,C1407324654,0.0,0.0,C1590550415,2016-07-08,TRF-lxnsvJBBjZdH,ID,C-c8b788a2-d7c0-4e09-81f1-d44ab56d7e4b
TRANSFER,710544.77,C503595296,0.0,0.0,C1359044626,2015-08-25,TRF-tOmsQXTMNNBi,ID,C-f653be1e-2797-46c1-a7c6-06b101143335
TRANSFER,581294.26,C847320212,0.0,0.0,C1590550415,2017-09-16,TRF-pOzBgKyAPbvQ,ID,C-0e3b492b-da9c-4581-b24c-9aef555034dc
TRANSFER,11996.58,C628392976,0.0,0.0,C1225616405,2021-10-13,TRF-DrRrgUGBsZpX,MY,C-93d85820-7f07-442b-bfbe-cc6c036b2b88
PAYMENT,2875.1,C354605216,15443.0,12567.9,M1651262695,2021-01-23,TRF-ckqYlJsFMTLT,SG,C-34d16e1a-da4e-4ae5-b34e-906f878090a2
PAYMENT,8586.98,C1476235721,3763.0,0.0,M494077446,2022-09-08,TRF-KWGnpTYiouQm,SG,C-a56a92a4-339b-4242-b17f-e7443a35b5e1
PAYMENT,871.75,C1237762639,19869.0,18997.25,M989889899,2022-02-20,TRF-EwNGIFBenofm,MY,C-6754e43c-fe74-44bb-bed9-5704a9775367
PAYMENT,1035.36,C424786033,71636.0,70600.64,M902860396,2017-01-16,TRF-LYolfJyFHktz,ID,C-d53f759a-50ba-43bd-bbab-ab38ae2763f6
PAYMENT,1063.53,C334593716,83084.0,82020.47,M1816522350,2022-02-25,TRF-bvjrCSXTClbu,ID,C-97c99c00-a490-44d2-a641-45cf3d218e33
PAYMENT,1019.9,C1839206329,204237.0,203217.1,M1521238608,2018-06-19,TRF-GONhCoiXvAaL,ID,C-884cc051-cc45-4c53-949e-e9467cd3da04
PAYMENT,4059.38,C827035437,26304.0,22244.62,M1111897955,2022-02-10,TRF-auEyZESySDVk,SG,C-23e52404-a987-4932-84a6-a70f193c507c
PAYMENT,1876.44,C908722588,182.0,0.0,M1643141512,2016-09-14,TRF-vHMoXXljgRtv,SG,C-d875ea35-117e-4dc4-a168-bd90c8994877
CASH_OUT,28404.6,C3565780,0.0,0.0,C1282788025,2019-08-06,TRF-whmPJoNzHsTN,ID,C-9f686418-5a0b-46cb-add2-d82a1a6152e9
CASH_OUT,75405.1,C2029372696,0.0,0.0,C1870252780,2019-11-21,TRF-AUaQgVuXzAPQ,ID,C-c42a8d93-f07a-40b1-81f6-b8274688983f
CASH_OUT,50101.88,C96039159,0.0,0.0,C97730845,2021-02-09,TRF-uOGcaNfxNAHK,ID,C-631a0b23-db5a-4c6e-bb11-d0a81a26a27f
CASH_OUT,14121.82,C89509666,0.0,0.0,C100555887,2022-02-07,TRF-zYbMoFnFjfvR,SG,C-19dfbeb4-4feb-4f13-bed5-7af0f50badd7
CASH_OUT,78292.91,C862025017,0.0,0.0,C1983747920,2022-03-10,TRF-TmmksITQdLnN,MY,C-d8117146-3837-4edd-82fe-ab15fd040ab7
CASH_OUT,176149.9,C1119242936,0.0,0.0,C736709391,2017-01-23,TRF-xFoTLRxorVqG,SG,C-590e4aee-7c50-40ac-a3a7-dfadfd7b0143
CASH_OUT,212228.35,C1642679791,0.0,0.0,C401424608,2019-09-01,TRF-CBUSRzGzwyIL,SG,C-a66a3ebe-79c2-403b-80f0-603a5f43b836
CASH_OUT,85423.63,C1123321137,0.0,0.0,C1590550415,2021-08-13,TRF-MUPhRQzSAbxh,MY,C-b0c40b71-0634-4965-ac5a-a4e9f55fe16a
CASH_OUT,11648.5,C811207775,0.0,0.0,C985934102,2018-05-18,TRF-pTXTcbRLKxbq,SG,C-a677bd06-acf2-456a-969d-3d86a773d6e9
PAYMENT,6165.58,C500230084,20925.0,14759.42,M25764044,2019-02-12,TRF-PsjsmAPElcEG,SG,C-ce55f433-3f3d-47e9-a981-08e82c642468
PAYMENT,3705.83,C973936431,41903.46,38197.63,M1925352804,2023-01-04,TRF-lkDPaHatvcfe,MY,C-84a494c6-698a-4365-8864-ba3fe462fef4
CASH_OUT,419801.4,C905080434,38197.63,0.0,C33524623,2022-03-07,TRF-CEoEJOlbaXQb,MY,C-c810d412-5632-4bd5-a8ab-4a9a915987db
CASH_OUT,335416.51,C725832346,144478.0,0.0,C575335780,2016-06-26,TRF-ZDNWFNcvHCkg,SG,C-06c67164-4fd0-4e74-8d5c-92c982e40d64
PAYMENT,3372.29,C1977618945,41398.0,38025.71,M1600594643,2017-08-15,TRF-sZqYaLOsvoCs,SG,C-4b77f620-374f-4335-9d3b-a3758742846e
PAYMENT,661.43,C1197498159,14078.0,13416.57,M692998280,2015-09-04,TRF-xwzwpEcBWcDZ,ID,C-b43457e6-fa47-483c-8349-d913062e6912
DEBIT,864.68,C1167088639,69836.0,68971.32,C20671747,2022-02-09,TRF-aqKgYWUdsTsI,SG,C-add575ab-9bba-4fbc-8b93-4cfa455affbe
PAYMENT,1203.44,C421191743,29941.0,28737.56,M33563464,2016-05-27,TRF-iLUsuShphXys,SG,C-a2aa7314-0402-4837-bb19-71c8ab4799bd
TRANSFER,330757.04,C806813022,103657.0,0.0,C564160838,2020-06-24,TRF-dchCSpAMtqvC,SG,C-fd1f448b-b9e5-4748-a750-4a751d602d86
PAYMENT,1915.43,C1334405552,11450.0,9534.57,M30699728,2017-05-08,TRF-GjEXirOrfCga,ID,C-31c74c33-750f-499f-a114-66701fde8370
PAYMENT,8.73,C1690050988,81313.0,81304.27,M1422273905,2018-10-04,TRF-sTXulmSFdQfm,ID,C-35aadf98-0a2c-4382-959b-196630b6a786
DEBIT,3058.8,C1057507014,18138.0,15079.2,C801197928,2020-06-29,TRF-OpVRpZhPvryl,ID,C-2750ea1a-51bf-45b0-ac67-ed0fc09465be
PAYMENT,5154.97,C402808045,9476.0,4321.03,M756936249,2017-09-30,TRF-hjmMltwjRfLy,ID,C-ecbd9f8e-4f8e-41eb-b2d3-8506919d7aa6
PAYMENT,5213.25,C690822257,36380.0,31166.75,M264394929,2015-09-16,TRF-vMbIqwLgPXAP,MY,C-5aa608f9-2a88-4f00-a8b7-62d63c887bdc
PAYMENT,5392.75,C1863655430,50757.0,45364.25,M769132147,2019-06-07,TRF-NcqyOJCoyyDI,SG,C-3878f8ce-70c5-4dfa-8464-63740c098584
PAYMENT,25.12,C163385254,61663.0,61637.88,M1474957626,2019-11-11,TRF-tOMBluhNznxT,MY,C-fef84acd-9e37-49fe-8c75-81277c829416
PAYMENT,17150.89,C1592840862,61637.88,44486.99,M1733022752,2019-11-21,TRF-iIGgIOqkAxxD,SG,C-cf301801-0df0-4608-9998-d7002e0d990e
TRANSFER,679502.24,C1262609629,290.0,0.0,C451111351,2016-11-02,TRF-GcwVyXIyHeKf,MY,C-f3f30566-361f-41bc-9305-0de95fdf4dcc
TRANSFER,177652.91,C1057468716,23720.0,0.0,C716157500,2022-02-10,TRF-upIVzzBWnIFE,SG,C-72ba41d4-a2c1-416c-b2e0-bfaabfb3892a
PAYMENT,5443.26,C263833514,236997.0,231553.74,M1914108708,2022-04-09,TRF-cYhRdumsZKTg,ID,C-b89379e8-00e3-4778-99d7-26ac6d400445
PAYMENT,244.87,C278476563,257978.49,257733.62,M1357700757,2020-09-19,TRF-CtAtOugcjNxp,SG,C-62f9afdc-0f4c-40d5-ae77-a81a2065287f
PAYMENT,8281.57,C425015667,257733.62,249452.05,M1889757798,2020-08-18,TRF-jIzlyDTpTNQQ,MY,C-f93ee5c5-5ab3-4b93-9b8a-ba8de1e39b69
PAYMENT,1175.59,C118555812,20509.0,19333.41,M1932470703,2022-04-19,TRF-KKkQQgRPAAAv,SG,C-b8be04a7-b599-48bc-b3e3-73430c4567bb
PAYMENT,1097.74,C163385254,24866.0,23768.26,M1713568869,2017-12-04,TRF-dkSshVSLbFRy,MY,C-5bfa5132-3495-4bd6-a35e-a222e57ac5f2
TRANSFER,184986.8,C493944943,39588.0,0.0,C1688019098,2023-02-13,TRF-ARcQtrfewpkq,ID,C-571d9fc0-8c89-465b-b01c-64bbd3960e36
PAYMENT,1718.29,C837073696,117811.0,116092.71,M1689924104,2022-01-02,TRF-FgxHDJJhdDxb,ID,C-914cec7d-4a5f-495c-b695-b17f4ae029c6
PAYMENT,3671.32,C1721045976,100094.0,96422.68,M631673932,2016-06-18,TRF-vnyQiPKjwcZQ,MY,C-c81766e3-3d29-4c21-8b94-68f2a13188f6
DEBIT,3580.26,C1011044643,2565.0,0.0,C1321640594,2015-05-16,TRF-KyPHLtTSVuUf,SG,C-3d0f6465-5e80-4cb5-8b33-157422be4fd5
PAYMENT,8550.9,C191310504,40060.0,31509.1,M790094605,2019-12-12,TRF-SFExKPThaRPL,SG,C-9f686418-5a0b-46cb-add2-d82a1a6152e9
PAYMENT,9753.55,C1936550492,60829.0,51075.45,M487792155,2018-10-21,TRF-mcdnBCtyKInv,ID,C-3d0f6465-5e80-4cb5-8b33-157422be4fd5
PAYMENT,3026.98,C1262237002,31139.0,28112.02,M1632670136,2016-07-24,TRF-AeTKQpDhWsTT,SG,C-55f17789-af84-4067-be29-3e4a522b111c
CASH_OUT,467177.03,C42820240,28112.02,0.0,C1170794006,2019-06-28,TRF-jKkDOAfnTCyX,ID,C-6d61102d-ae5d-4a77-ab3f-14317f6cd1fe
DEBIT,3875.99,C373097727,259138.0,255262.01,C1509514333,2019-02-03,TRF-CiiCNGOzyVjh,MY,C-9bf9ffe2-d871-455d-9733-1bfc24ea7576
PAYMENT,2148.89,C1533123860,31213.0,29064.11,M638486177,2022-02-12,TRF-xfaExQtSWAFx,MY,C-a9992118-be8d-434c-9769-4dfaa99f6ed7
PAYMENT,466.97,C464649704,80030.0,79563.03,M314411620,2021-03-30,TRF-pyoCiMqzAVeA,MY,C-71f8568f-7ce1-445d-a152-34d527c37b15
CASH_OUT,154139.72,C867288517,79563.03,0.0,C564160838,2016-04-05,TRF-XKaQSkQsWNIp,SG,C-914cec7d-4a5f-495c-b695-b17f4ae029c6
CASH_OUT,82685.93,C1677568775,0.0,0.0,C392292416,2019-10-26,TRF-CXKoZRmaCFGh,SG,C-cf6c8842-b7cc-4736-a900-2c3321360bec
CASH_OUT,83857.23,C413373997,0.0,0.0,C1297685781,2018-01-17,TRF-xqjXidBVwDJO,MY,C-6d46a962-5ab5-4eb1-a612-7328416be26e
CASH_OUT,99109.77,C1793899405,0.0,0.0,C1297685781,2018-09-06,TRF-KfJkKeAHquln,ID,C-d9bd51ef-67fd-486f-9215-5f9e4425d1b2
CASH_OUT,187726.67,C307411297,0.0,0.0,C747464370,2019-02-28,TRF-HKynraDbvZaS,MY,C-5d675213-0208-42ed-a6ab-cc47f41c1eaa
CASH_OUT,281339.92,C460741164,0.0,0.0,C1509514333,2020-09-22,TRF-hyKcMAZovlkr,ID,C-5e1f7c29-f4b3-43d3-9e6e-fb124bf78b35
CASH_OUT,186447.51,C307605969,0.0,0.0,C1590550415,2015-12-09,TRF-OVpeNzGKzUNk,MY,C-c81766e3-3d29-4c21-8b94-68f2a13188f6
